feedback_id,filename,relative_path,category,split
FB-6cdc8a7001a2,Customer_Feedback_005.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_005.pdf,Poor,reference
FB-6d2fb83ff15a,Customer_Feedback_067.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_067.pdf,Need Improvements,reference
FB-6d643ce6c14a,Customer_Feedback_049.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_049.pdf,Good,reference
FB-6f1b7ff1018f,Customer_Feedback_017.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_017.pdf,Need Improvements,evaluation
FB-7251328ef570,Customer_Feedback_065.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_065.pdf,Need Improvements,evaluation
FB-763f01b84c68,Customer_Feedback_025.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_025.pdf,Poor,reference
FB-7b4c5487256e,Customer_Feedback_055.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_055.pdf,Need Improvements,evaluation
FB-7baac3542bdb,Customer_Feedback_042.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_042.pdf,Good,reference
FB-80ea0e2fd649,Customer_Feedback_040.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_040.pdf,Good,reference
FB-813607ae58f5,Customer_Feedback_068.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_068.pdf,Need Improvements,evaluation
FB-815a8674b9ac,Customer_Feedback_046.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_046.pdf,Need Improvements,reference
FB-84e41648b905,Customer_Feedback_011.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_011.pdf,Poor,evaluation
FB-890ed736b021,Customer_Feedback_035.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_035.pdf,Need Improvements,evaluation
FB-8c19fdb78f25,Customer_Feedback_100.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_100.pdf,Need Improvements,reference
FB-8cb6a6ca26dc,Customer_Feedback_098.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_098.pdf,Need Improvements,reference
FB-8eb0da44ff91,Customer_Feedback_019.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_019.pdf,Good,reference
FB-914b1bca6457,Customer_Feedback_008.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_008.pdf,Need Improvements,reference
FB-91ab4c1a8ece,Customer_Feedback_094.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_094.pdf,Need Improvements,reference
FB-929219f7c354,Customer_Feedback_031.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_031.pdf,Poor,reference
FB-94343eb58a96,Customer_Feedback_047.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_047.pdf,Need Improvements,evaluation
FB-9919c4611a9a,Customer_Feedback_076.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_076.pdf,Poor,evaluation
FB-9979a2c5b251,Customer_Feedback_099.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_099.pdf,Need Improvements,reference
FB-9bb7e6f8ed68,Customer_Feedback_030.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_030.pdf,Need Improvements,reference
FB-9ecddfbaff24,Customer_Feedback_088.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_088.pdf,Good,reference
FB-9edf888d92c6,Customer_Feedback_036.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_036.pdf,Poor,evaluation
FB-a46e027f10b7,Customer_Feedback_084.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_084.pdf,Poor,reference
FB-a6957d9d8d6d,Customer_Feedback_054.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_054.pdf,Poor,reference
FB-a9477c0b977c,Customer_Feedback_027.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_027.pdf,Poor,reference
FB-aaa315073954,Customer_Feedback_060.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_060.pdf,Need Improvements,reference
FB-ac8a906d7b80,Customer_Feedback_095.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_095.pdf,Poor,reference
FB-b26d57c80228,Customer_Feedback_091.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_091.pdf,Need Improvements,reference
FB-b5c19498874c,Customer_Feedback_092.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_092.pdf,Poor,reference
FB-bf70a54a2c9b,Customer_Feedback_079.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_079.pdf,Need Improvements,reference
FB-c0a824be2306,Customer_Feedback_041.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_041.pdf,Poor,evaluation
FB-c5dd8e323f86,Customer_Feedback_012.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_012.pdf,Need Improvements,reference
FB-c83d3ac23ba2,Customer_Feedback_075.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_075.pdf,Need Improvements,reference
FB-c840ef05aa40,Customer_Feedback_085.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_085.pdf,Need Improvements,evaluation
FB-c96643260bc9,Customer_Feedback_038.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_038.pdf,Good,reference
FB-cb051dfb1ebf,Customer_Feedback_073.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_073.pdf,Poor,reference
FB-cce0a688e50c,Customer_Feedback_053.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_053.pdf,Need Improvements,reference
FB-d419c113c3bc,Customer_Feedback_021.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_021.pdf,Poor,reference
FB-d6b197a17a83,Customer_Feedback_032.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_032.pdf,Need Improvements,reference
FB-d8daa1ec4717,Customer_Feedback_072.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_072.pdf,Need Improvements,reference
FB-e321ff99206f,Customer_Feedback_026.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_026.pdf,Need Improvements,reference
FB-e902340a71fa,Customer_Feedback_029.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_029.pdf,Poor,evaluation
FB-e9385db84d81,Customer_Feedback_044.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_044.pdf,Poor,reference
FB-ec943c6a4604,Customer_Feedback_006.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_006.pdf,Need Improvements,reference
FB-ed24c449887f,Customer_Feedback_013.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_013.pdf,Poor,reference
FB-efe215ea3966,Customer_Feedback_039.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_039.pdf,Good,reference
FB-f5034132e25a,Customer_Feedback_083.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_083.pdf,Good,reference
FB-f56832f64b3e,Customer_Feedback_059.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_059.pdf,Good,evaluation
FB-f6a81f9c1251,Customer_Feedback_018.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_018.pdf,Good,evaluation
FB-ff4b09bacca4,Customer_Feedback_045.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_045.pdf,Poor,reference
FB-ff6b54c80cec,Customer_Feedback_034.pdf,Sample_Data/customer_feedback_forms/Customer_Feedback_034.pdf,Poor,reference
