feedback_id,relative_path,gold_category,predicted_category,confidence,correct,gold_category_retrieved,retrieved_only_reference,retrieved_feedback_ids,retrieved_categories,status,error
FB-16f4756586b6,Sample_Data/customer_feedback_forms/Customer_Feedback_056.pdf,Need Improvements,Need Improvements,1.0,True,True,True,FB-16f4756586b6;FB-cb051dfb1ebf;FB-2bdd209e0eb4;FB-815a8674b9ac,Need Improvements;Poor;Need Improvements;Need Improvements,success,
FB-26facbe9162b,Sample_Data/customer_feedback_forms/Customer_Feedback_057.pdf,Poor,Need Improvements,0.9,False,True,True,FB-0bb22609685f;FB-815a8674b9ac;FB-d6b197a17a83;FB-44585df8f08a,Poor;Need Improvements;Need Improvements;Need Improvements,success,
FB-2179c3c2cafd,Sample_Data/customer_feedback_forms/Customer_Feedback_064.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-c83d3ac23ba2;FB-cb051dfb1ebf;FB-e9385db84d81;FB-8cb6a6ca26dc,Need Improvements;Poor;Poor;Need Improvements,success,
FB-813607ae58f5,Sample_Data/customer_feedback_forms/Customer_Feedback_068.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-21501bda1d17;FB-bf70a54a2c9b;FB-0841a5875968;FB-0a8a3c2393f2,Poor;Need Improvements;Need Improvements;Good,success,
FB-cb051dfb1ebf,Sample_Data/customer_feedback_forms/Customer_Feedback_073.pdf,Poor,Poor,0.9,True,True,True,FB-cb051dfb1ebf;FB-089f5cfbcd6b;FB-f5034132e25a;FB-a6957d9d8d6d,Poor;Need Improvements;Good;Poor,success,
FB-21501bda1d17,Sample_Data/customer_feedback_forms/Customer_Feedback_080.pdf,Poor,Poor,0.9,True,True,True,FB-21501bda1d17;FB-bf70a54a2c9b;FB-c5dd8e323f86;FB-0a8a3c2393f2,Poor;Need Improvements;Need Improvements;Good,success,
FB-a46e027f10b7,Sample_Data/customer_feedback_forms/Customer_Feedback_084.pdf,Poor,Poor,1.0,True,True,True,FB-a46e027f10b7;FB-aaa315073954;FB-373d16937825;FB-6d2fb83ff15a,Poor;Need Improvements;Good;Need Improvements,success,
FB-9ecddfbaff24,Sample_Data/customer_feedback_forms/Customer_Feedback_088.pdf,Good,Good,0.9,True,True,True,FB-9ecddfbaff24;FB-5e41d6693b6a;FB-e9385db84d81;FB-32ab91ce3acd,Good;Good;Poor;Poor,success,
FB-1aeb872eb96c,Sample_Data/customer_feedback_forms/Customer_Feedback_089.pdf,Excellent,Excellent,0.9,True,True,True,FB-1aeb872eb96c;FB-aaa315073954;FB-0243d7940d68;FB-63399e4d3363,Excellent;Need Improvements;Need Improvements;Good,success,
FB-91ab4c1a8ece,Sample_Data/customer_feedback_forms/Customer_Feedback_094.pdf,Need Improvements,Need Improvements,0.9,True,True,True,FB-91ab4c1a8ece;FB-8cb6a6ca26dc;FB-ed24c449887f;FB-421c8efda2b1,Need Improvements;Need Improvements;Poor;Poor,success,
